Audio_Id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Album_Name,Album_Type,Album_Total_Tracks,Album_Popularity,Year,Month,Day,Track_Name,Track_Popularity,Duration,Track_Number,Disc Number,Artist_Name,Artist_Followers,Artist_Popularity
1556,0.641,0.821,5.0,-8.783,0.0,0.0325,0.274,0.487,0.138,0.705,161.143,4.0,Some Guys Have All the Luck,compilation,32,58,2008,11,16,Young Turks - 2008 Remaster,57,302413,15,1,Rod Stewart,5056481,75
1557,0.653,0.976,11.0,-5.173,0.0,0.0797,0.0374,0.00173,0.561,0.447,105.575,4.0,Janet,album,28,63,1993,5,18,If,49,271640,6,1,Janet Jackson,3988560,66
1558,0.775,0.616,0.0,-12.676,1.0,0.0317,0.246,6.77e-06,0.0511,0.98,136.63,4.0,Like a Virgin,album,11,65,1984,11,12,Material Girl,56,240706,1,1,Madonna,8245657,81
1559,0.689,0.894,6.0,-6.342,0.0,0.0672,0.133,4.72e-05,0.0681,0.709,123.971,4.0,Fever,album,13,56,2001,10,1,In Your Eyes,43,197826,8,1,Kylie Minogue,2108451,76
1560,0.693,0.705,8.0,-5.747,1.0,0.0665,0.0228,0.0,0.202,0.45,131.951,4.0,Femme Fatale (Deluxe Version),album,16,70,2011,3,28,Till the World Ends,62,237946,1,1,Britney Spears,15721956,84
1561,0.566,0.766,2.0,-5.036,1.0,0.0399,0.431,0.0,0.101,0.547,168.005,4.0,Jordin Sparks,album,16,67,2007,11,20,Tattoo,56,233466,1,1,Jordin Sparks,2451996,65
1562,0.752,0.79,2.0,-8.648,1.0,0.0507,0.0797,5.78e-05,0.284,0.202,115.976,4.0,The Preacher's Wife,album,15,58,1996,11,27,Step by Step,50,252533,2,1,Whitney Houston,10708830,79
1563,0.686,0.688,6.0,-4.981,0.0,0.0254,0.39,1.03e-06,0.0924,0.493,123.125,4.0,Call Me Irresponsible,album,13,67,2007,4,27,Everything,68,212373,9,1,Michael Bublé,6530963,88
1564,0.477,0.682,1.0,-4.931,0.0,0.0925,0.153,0.0,0.0763,0.345,110.567,5.0,How Do You Sleep?,single,1,60,2019,7,19,How Do You Sleep?,65,202204,1,1,Sam Smith,24879281,84
1565,0.925,0.748,11.0,-5.572,0.0,0.278,0.0484,0.0,0.101,0.615,92.978,4.0,Tipsy,single,2,47,2004,1,25,Tipsy - Radio Mix,53,243026,1,1,J-Kwon,297790,53
