Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Album_Total_Tracks,Album_Popularity,Track_Popularity,Duration,Artist_Followers,Artist_Popularity
0.379,0.664,-0.24950285088845187,0.0307,0.0167,0.000679,0.0915,0.301,-0.15295544484513257,-0.15048022473399125,45,50,0.3194671201489971,-1.3432324516002978,43
0.633,0.673,-0.1130668985521382,0.258,0.297,0.0,0.206,0.659,-1.1922217409871936,-3.9512752546325194,67,73,-0.21369795535118152,-0.49849211055145964,64
0.769,0.721,-2.052673388539801,0.109,0.488,1.09e-06,0.316,0.857,0.08661441771179788,1.1773526509348033,35,40,-0.8521533691561374,-1.3110570304927445,32
0.42,0.969,0.7769526261822401,0.0581,2.84e-05,0.00861,0.379,0.182,1.3591994460884342,0.27114267719403135,62,57,0.5577645214040623,-0.24981266341378047,62
0.543,0.912,-1.5268902404258444,0.0601,0.00162,2.1e-06,0.0565,0.836,-0.5393831816279915,-0.4896925317540781,62,67,0.624194441699178,-0.3479326611005742,60
0.699,0.68,0.6569629875493822,0.0276,0.00993,0.0,0.11,0.578,-0.8619662410077233,-0.897165175696261,48,30,0.2631545042472459,0.18548681635426956,66
0.629,0.721,0.47514992535331035,0.0287,0.0395,0.0,0.349,0.787,1.0490465071230464,-1.7204838931932986,34,37,0.2595193717088912,-0.14896886303138707,54
0.376,0.695,0.3449946371199432,0.0933,0.135,0.0,0.11,0.302,1.262814350293648,0.6200938700464856,71,75,-0.24876583765371899,0.6275677187889329,82
0.783,0.435,-0.5308393842245054,0.0588,0.282,0.0,0.0833,0.512,-0.42665547335419174,-3.9512752546325194,52,57,-0.2328478064672191,0.30317444559559903,86
0.726,0.431,-0.8480626572656205,0.135,0.731,0.0,0.696,0.348,0.663913237794414,-3.9512752546325194,73,78,-1.0600835696530249,-0.1482160134683825,70
0.571,0.714,0.2839623313848989,0.0303,0.08,0.0,0.478,0.741,0.08357384582841501,-0.31301124925111484,35,36,-0.1840334539243925,-1.1841854488275148,32
0.648,0.72,0.680993733226764,0.05,0.00266,0.0,0.0717,0.594,-0.39128859522273035,-0.31301124925111484,25,23,-0.8537089687716781,-0.9005679845322999,48
0.839,0.706,-0.025975664064411222,0.199,0.208,0.0,0.242,0.839,-0.7972921593226551,0.3942442336153424,14,3,0.42595236107574813,-0.04135568067376232,72
0.852,0.591,-0.816088808910374,0.0675,0.103,0.421,0.0468,0.826,-0.14279586677473047,0.0,51,51,0.5677094031286736,0.3522025280500009,71
0.7,0.465,-0.23512413677951197,0.358,0.544,0.0,0.606,0.719,-0.38823798469112414,-0.4896925317540781,49,54,-1.6333625020961267,-1.285230598131001,42
0.706,0.719,0.491128087558959,0.0573,0.00706,0.0,0.0377,0.495,0.1765423007002932,0.0,41,27,-0.3532059789300566,-0.41925885624205006,58
0.553,0.843,-0.727952822936903,0.0489,0.00307,0.0,0.0818,0.834,1.4235753632300454,1.9177801121881057,42,22,0.476949198032351,-0.999677271894736,37
0.689,0.481,-0.4444941039816029,0.0815,0.369,1.03e-06,0.0649,0.283,-1.4880588020494063,0.0,74,55,0.1438730535026433,0.4773473507446508,83
0.744,0.697,-3.234686569862548,0.0631,0.039,0.0,0.171,0.683,-0.006991955262519489,0.1400937376192711,53,57,0.6486247463636385,-0.45478289291959345,48
0.801,0.961,-0.2988846998375522,0.0604,0.00765,7.7e-05,0.0639,0.909,0.005912985733912748,0.1400937376192711,32,32,0.00583005424216821,-1.4863576739134097,28
0.56,0.825,-0.20408482421166002,0.0347,0.000785,0.00246,0.0892,0.74,0.6291618976396727,1.5475663815614549,69,73,-0.18455778005335122,-0.1006214477966416,71
0.731,0.355,-2.325831234819145,0.0603,0.00864,5.14e-05,0.0579,0.529,1.394551373081149,0.3942442336153424,56,53,0.6530396386956199,0.04776808881731585,65
0.398,0.927,0.49830477257368416,0.0567,6.2e-05,0.000177,0.0575,0.311,-1.6236888121379127,0.1400937376192711,78,72,0.6788403797251954,0.49398486375245265,78
0.591,0.935,0.8963949882438086,0.0478,0.000284,0.000278,0.142,0.736,0.5609705868245344,-0.31301124925111484,75,65,0.4748745839296059,0.19217200382803484,77
